Crate,CrateWeight
20062,3.932
20070,3.976
20095,3.964
620,7.794
60208,7.784
60215,7.952
60217,7.9
60229,7.748
60233,7.9
60247,7.906
60248,8.008
60251,7.45
60254,7.516
60256,7.494
60262,7.85
60265,8
60270,7.884
60272,7.516
60273,3.9
60279,7.35
60287,7.458
60293,7.85
60298,7.45
60304,7.95
60306,1.834
60308,2.502
60309,2.5
60310,2.506
60311,2.49
60312,2.542
60314,7.804
60321,2.524
60322,1.81
60323,2.5
60325,2.55
60326,7.876
60328,7.8
60334,7.462
60337,2.592
60338,2.466
60342,7.466
60344,7.884
60345,7.5
60346,7.95
60350,3.934
60352,2.506
60355,2.492
60356,7.9
60357,7.496
60362,7.45
60368,3.9
60369,2.49
60372,2.5
60380,2.35
60381,2.468
60387,2.484
60388,2.55
60389,2.616
60391,2.55
60393,2.556
60394,2.538
60396,2.55
60397,2.55
60399,2.456
60401,2.488
60404,2.55
60405,2.9
60406,2.45
60415,2.486
60418,2.468
60423,2.512
60424,1.7
60427,2.468
60428,2.4
60429,2.472
60430,2.486
60437,7.85
60438,7.928
60501,2.496
60502,2.504
60505,2.5
60511,2.466
60512,7.85
60513,4
60525,1.864
60528,1.858
60531,2.55
60536,2.494
60541,2.578
60543,7.886
60551,2.45
60557,2.504
60561,2.474
60564,2.466
60565,2.55
60566,2.15
60568,2.55
60569,3.9
60571,4
60572,3.95
60576,2.5
60578,7.4
60579,8.05
60580,2.55
60581,2.5
60583,7.8
60591,2.5
60594,2.5
60599,2.472
60604,2.55
60606,7.512
60609,2.5
60613,2.5
60617,2.512
60619,2.488
60622,2.5
60623,2.15
60627,1.8
60631,8.15
60633,2.506
60637,3.772
60639,2.55
60643,2.5
60645,2.35
60646,7.45
60651,7.478
60658,2.466
60659,2.586
60660,2.55
60663,2.544
60667,7.512
60668,2.496
60670,2.5
60674,2.508
60680,2.456
60687,7.45
60688,2.4
60689,2.5
60698,2.474
60699,2.51
60700,2.49
60703,2.458
60707,2.5
60708,2.482
60710,1.386
60711,2.444
60714,2.5
60718,2.55
60719,1.814
60733,1.888
60735,7.69
60739,4
60740,7.838
60742,7.904
60747,2.516
60751,3.95
60755,2.518
60756,4.15
60760,2.5
60761,3.936
60765,2.5
60775,2.492
60776,3.95
60779,8.062
60787,3.954
60790,2.506
60796,3.95
60799,2.518
60800,1.648
60802,2.7
60806,2.492
60811,2.5
60815,2.492
60818,2.5
60829,2.558
60833,2.5
60834,2.544
60835,2.49
60837,2.65
60842,2.452
60844,2.55
60845,2.494
60846,2.488
60848,2.508
60852,2.5
60853,1.778
60854,2.5
60858,1.9
60859,2.5
60871,2.492
60872,2.55
60873,2.474
60874,2.464
60875,1.8
60879,2.5
60881,2.56
60885,2.5
60886,2.5
60888,2.562
60890,2.5
60892,2.5
60897,2.484
60900,1.95
60902,2.55
60904,2.5
60907,2.494
60909,2.55
60913,2.55
60914,2.506
60915,2.484
60918,2.494
60919,2.5
60922,2.45
60927,3.9
60928,2.5
60930,2.562
60933,2.53
60934,2.518
60942,2.546
60943,2.45
60944,2.5
60946,2.562
60962,2.486
60963,2.6
60966,2.474
60967,2.496
60970,2.25
60972,2.35
60973,2.49
60980,2.496
60981,2.504
60986,2.5
60989,2.572
60991,2.6
60994,2.5
60995,2.488
61000,2.468
61004,4.052
61016,3.968
61019,1.85
61020,1.9
61024,1.868
61025,1.85
61028,7.728
61029,1.804
61032,2.48
61037,2.87
61041,3.956
61042,7.8
61046,3.944
61052,7.452
61053,4.1
61054,7.802
61056,7.998
61064,7.422
61070,4
61072,3.95
61079,3.9
61082,3.95
61091,3.946
61093,7.87
61100,3.95
61104,1.824
61108,1.85
61109,7.7
61111,2.5
61125,8
61127,2.15
61139,4
61148,3.95
61152,7.8
61157,1.752
61158,7.808
61160,3.9
61167,1.834
61171,1.828
61172,1.85
61174,3.938
61175,1.04
61178,7.428
61182,1.85
61186,7.45
61187,2.5
