_id_x,Crate,Dispatch,Content,ContentWeight,ContentCategory,NetWeight,GrossWeight,_id_y,VesselType,ManufacturingPlant,TareWeight,Status,createdAt,updatedAt
6776524456bf9b28a8bd5693,61965,2025-01-02T06:33:18.569Z,KM,3.092,6697ce0768f46fd1cab97f58,3.092,4.9,67271a0b5abc76c44d8bb62d,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-11-03T06:36:59.101Z,2025-01-07T11:34:27.829Z
677652e256bf9b28a8bd56a1,64631,2025-01-02T06:33:18.569Z,KM,3.108,6697ce0768f46fd1cab97f58,3.108,4.9,676a59f94d10b47b2a0b9481,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.822,1,2024-12-24T06:51:37.815Z,2025-01-17T10:07:17.828Z
6776530e56bf9b28a8bd56a4,63896,2025-01-02T06:33:18.569Z,KM,3.084,6697ce0768f46fd1cab97f58,3.084,4.9,676a59e24d10b47b2a0b91a2,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.836,1,2024-12-24T06:51:14.653Z,2025-01-21T10:32:38.602Z
6776539456bf9b28a8bd56ad,64276,2025-01-02T06:33:18.569Z,KM,3.116,6697ce0768f46fd1cab97f58,3.116,4.9,676a59ee4d10b47b2a0b931e,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2,1,2024-12-24T06:51:26.165Z,2025-01-07T10:40:58.861Z
677653d556bf9b28a8bd56b0,63867,2025-01-02T06:33:18.569Z,KM,3.112,6697ce0768f46fd1cab97f58,3.112,4.9,676a59e14d10b47b2a0b9185,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.75,1,2024-12-24T06:51:13.806Z,2025-01-09T10:07:12.305Z
6776546856bf9b28a8bd56b9,63506,2025-01-02T06:33:18.569Z,KM,3.098,6697ce0768f46fd1cab97f58,3.098,4.9,676a59d64d10b47b2a0b901c,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.836,1,2024-12-24T06:51:02.367Z,2025-01-21T10:28:17.323Z
6776547e56bf9b28a8bd56bc,64584,2025-01-02T06:33:18.569Z,KM,3.072,6697ce0768f46fd1cab97f58,3.072,4.95,676a59f84d10b47b2a0b9452,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.9,1,2024-12-24T06:51:36.268Z,2025-01-07T10:35:33.560Z
6776549256bf9b28a8bd56bf,64506,2025-01-02T06:33:18.569Z,KM,3.102,6697ce0768f46fd1cab97f58,3.102,4.9,676a59f54d10b47b2a0b9404,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.85,1,2024-12-24T06:51:33.702Z,2025-01-09T10:10:13.172Z
677654cd56bf9b28a8bd56c2,65298,2025-01-02T06:33:18.569Z,KM,3.122,6697ce0768f46fd1cab97f58,3.122,4.9,676a5a0f4d10b47b2a0b971c,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:51:59.326Z,2025-01-07T10:51:36.655Z
677654ea56bf9b28a8bd56c5,63505,2025-01-02T06:33:18.569Z,KM,3.086,6697ce0768f46fd1cab97f58,3.086,4.9,676a59d64d10b47b2a0b901b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.974,1,2024-12-24T06:51:02.337Z,2025-01-17T10:06:39.240Z
6776551256bf9b28a8bd56cb,63880,2025-01-02T06:33:18.569Z,KM,3.124,6697ce0768f46fd1cab97f58,3.124,5.4,676a59e24d10b47b2a0b9192,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.834,1,2024-12-24T06:51:14.180Z,2025-01-20T11:32:44.334Z
6776559056bf9b28a8bd56ce,65402,2025-01-02T06:33:18.569Z,PR,1.552,6697ce0768f46fd1cab97f58,3.11,6.65,676a5a124d10b47b2a0b9784,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.84,1,2024-12-24T06:52:02.752Z,2025-01-20T10:14:21.183Z
6776559056bf9b28a8bd56ce,65402,2025-01-02T06:33:18.569Z,NHB,1.558,6697ce0768f46fd1cab97f58,3.11,6.65,676a5a124d10b47b2a0b9784,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.84,1,2024-12-24T06:52:02.752Z,2025-01-20T10:14:21.183Z
67765c1f56bf9b28a8bd5751,60627,2025-01-02T06:33:18.569Z,STS,1.544,6697ce0768f46fd1cab97f58,3.092,6.5,6700ea94db309e2c6e37a830,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-10-05T07:28:20.173Z,2025-01-07T10:01:25.683Z
67765c1f56bf9b28a8bd5751,60627,2025-01-02T06:33:18.569Z,MUT,1.548,6697ce0768f46fd1cab97f58,3.092,6.5,6700ea94db309e2c6e37a830,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-10-05T07:28:20.173Z,2025-01-07T10:01:25.683Z
67765c5156bf9b28a8bd5769,64663,2025-01-02T06:33:18.569Z,GMP,1.05,6697ce0768f46fd1cab97f58,3.15,6.75,676a59fa4d10b47b2a0b94a1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.846,1,2024-12-24T06:51:38.801Z,2025-01-17T10:19:42.944Z
67765c5156bf9b28a8bd5769,64663,2025-01-02T06:33:18.569Z,GMP,1.058,6697ce0768f46fd1cab97f58,3.15,6.75,676a59fa4d10b47b2a0b94a1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.846,1,2024-12-24T06:51:38.801Z,2025-01-17T10:19:42.944Z
67765c5156bf9b28a8bd5769,64663,2025-01-02T06:33:18.569Z,MB,1.042,6697ce0768f46fd1cab97f58,3.15,6.75,676a59fa4d10b47b2a0b94a1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.846,1,2024-12-24T06:51:38.801Z,2025-01-17T10:19:42.944Z
67765d6956bf9b28a8bd579f,65325,2025-01-02T06:33:18.569Z,NB,1.544,6697ce0768f46fd1cab97f58,3.656,6.2,676a5a104d10b47b2a0b9737,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.858,1,2024-12-24T06:52:00.258Z,2025-01-21T10:25:30.648Z
67765d6956bf9b28a8bd579f,65325,2025-01-02T06:33:18.569Z,GA,1.054,6697ce0768f46fd1cab97f58,3.656,6.2,676a5a104d10b47b2a0b9737,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.858,1,2024-12-24T06:52:00.258Z,2025-01-21T10:25:30.648Z
67765d6956bf9b28a8bd579f,65325,2025-01-02T06:33:18.569Z,GA,1.058,6697ce0768f46fd1cab97f58,3.656,6.2,676a5a104d10b47b2a0b9737,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.858,1,2024-12-24T06:52:00.258Z,2025-01-21T10:25:30.648Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,PT,1.032,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,PT,1.032,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,PT,1.032,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,MH 200,1.114,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,MH 200,1.118,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
