epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.5338,0.26404,0.92683,1,0.29596,0.000236754,0.000236754,0.000236754
2,68.2061,0.15051,0.95122,1,0.35901,0.000474347,0.000474347,0.000474347
3,92.5975,0.19296,0.97561,1,0.25526,0.000711785,0.000711785,0.000711785
4,116.769,0.15892,0.97561,1,0.18568,0.000712685,0.000712685,0.000712685
5,141.193,0.15647,0.97561,1,0.16292,0.000712347,0.000712347,0.000712347
6,165.49,0.1275,0.97561,1,0.57257,0.000712005,0.000712005,0.000712005
7,190.401,0.10662,0.95122,1,0.8032,0.000711665,0.000711665,0.000711665
8,215.245,0.07372,0.97561,1,0.15263,0.00071132,0.00071132,0.00071132
9,239.966,0.09298,0.97561,1,0.16091,0.000710966,0.000710966,0.000710966
10,264.42,0.07087,0.97561,1,0.88792,0.000710621,0.000710621,0.000710621
11,288.857,0.07083,0.97561,1,0.25197,0.000710278,0.000710278,0.000710278
12,313.17,0.07126,0.97561,1,0.69225,0.000709935,0.000709935,0.000709935
13,337.551,0.06576,0.97561,1,0.12726,0.000709594,0.000709594,0.000709594
14,361.41,0.0542,0.97561,1,0.1686,0.000709254,0.000709254,0.000709254
15,385.269,0.0502,0.97561,1,0.18353,0.000708917,0.000708917,0.000708917
16,409.098,0.05756,0.97561,1,0.29667,0.000708582,0.000708582,0.000708582
17,432.739,0.05138,0.97561,1,0.78712,0.00070825,0.00070825,0.00070825
18,456.442,0.04038,0.97561,1,0.82042,0.000707919,0.000707919,0.000707919
19,480.084,0.0627,0.97561,1,0.46019,0.000707587,0.000707587,0.000707587
20,503.928,0.06391,0.95122,1,0.17192,0.000707254,0.000707254,0.000707254
21,527.444,0.05317,0.97561,1,0.16444,0.000706924,0.000706924,0.000706924
22,551.429,0.04547,0.97561,1,0.22659,0.000706589,0.000706589,0.000706589
23,575.086,0.03499,0.97561,1,0.22889,0.000706252,0.000706252,0.000706252
24,598.93,0.03727,0.97561,1,0.20935,0.00070592,0.00070592,0.00070592
25,622.743,0.05956,0.95122,1,0.40393,0.000705589,0.000705589,0.000705589
26,646.165,0.05346,0.97561,1,0.92688,0.000705256,0.000705256,0.000705256
27,670.103,0.05585,0.97561,1,0.26272,0.000704924,0.000704924,0.000704924
28,693.791,0.04935,0.97561,1,0.69058,0.000704589,0.000704589,0.000704589
29,717.494,0.03295,0.97561,1,0.24878,0.00070426,0.00070426,0.00070426
30,741.213,0.03636,0.95122,1,0.23238,0.000703927,0.000703927,0.000703927
31,764.651,0.04716,0.97561,1,0.21946,0.000703595,0.000703595,0.000703595
32,788.839,0.02349,0.97561,1,0.17884,0.000703258,0.000703258,0.000703258
33,812.527,0.03771,0.97561,1,0.16714,0.000702923,0.000702923,0.000702923
34,836.23,0.03736,0.97561,1,0.24436,0.000702593,0.000702593,0.000702593
35,860.012,0.05802,0.97561,1,0.19597,0.000702259,0.000702259,0.000702259
36,883.887,0.04343,0.97561,1,0.27607,0.000701926,0.000701926,0.000701926
37,907.56,0.02878,0.97561,1,0.32625,0.000701593,0.000701593,0.000701593
38,931.342,0.05056,0.97561,1,1.15886,0.000701261,0.000701261,0.000701261
39,955.03,0.04767,0.97561,1,0.21557,0.000700929,0.000700929,0.000700929
40,978.686,0.04493,0.97561,1,0.24794,0.000700592,0.000700592,0.000700592
41,1002.48,0.03274,0.97561,1,0.30264,0.000700261,0.000700261,0.000700261
42,1026.27,0.03506,0.97561,1,1.04055,0.000699931,0.000699931,0.000699931
