epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3021,1.03394,1.50821,1.48338,0.8815,0.764,0.88844,0.57358,1.13264,1.16618,1.57761,0.000663877,0.000663877,0.000663877
2,75.0758,1.11357,1.10079,1.53604,0.72289,0.8,0.84942,0.53016,1.21833,1.17515,1.7234,0.00132909,0.00132909,0.00132909
3,110.136,1.12147,0.98328,1.53865,0.83839,0.80927,0.90418,0.61129,1.11083,1.0186,1.6104,0.00199308,0.00199308,0.00199308
4,145.119,1.09379,0.92374,1.52058,0.71829,0.496,0.63316,0.32982,1.60618,1.34728,2.07578,0.00199393,0.00199393,0.00199393
5,180.129,1.0187,0.83813,1.45963,0.88364,0.88094,0.93222,0.71096,0.87718,0.66413,1.3903,0.00199201,0.00199201,0.00199201
6,217.778,0.98359,0.78873,1.43375,0.96107,0.892,0.94372,0.74453,0.79419,0.61006,1.30284,0.00199008,0.00199008,0.00199008
7,253.985,0.93576,0.73056,1.39549,0.89407,0.852,0.92533,0.64589,1.01803,0.72268,1.47738,0.00198801,0.00198801,0.00198801
8,288.551,0.91672,0.6972,1.38054,0.95003,0.936,0.97397,0.78626,0.71548,0.55837,1.21474,0.00198603,0.00198603,0.00198603
9,323.306,0.88592,0.67275,1.35419,0.97577,0.96634,0.98877,0.80637,0.68963,0.44509,1.1598,0.00198413,0.00198413,0.00198413
10,358.088,0.87822,0.65997,1.33923,0.97125,0.968,0.98826,0.81292,0.67148,0.43401,1.15615,0.00198222,0.00198222,0.00198222
11,392.894,0.84566,0.63585,1.32781,0.97613,0.952,0.9877,0.81235,0.68029,0.44212,1.20085,0.0019803,0.0019803,0.0019803
12,427.383,0.83917,0.62034,1.31304,0.98207,0.948,0.98841,0.84573,0.59895,0.39694,1.09154,0.00197839,0.00197839,0.00197839
13,462.075,0.81231,0.59843,1.29283,0.9793,0.948,0.98008,0.80822,0.6717,0.40858,1.18356,0.0019765,0.0019765,0.0019765
14,496.858,0.79778,0.58115,1.29647,0.95227,0.95772,0.98413,0.81149,0.68274,0.4333,1.1781,0.00197459,0.00197459,0.00197459
15,531.703,0.79952,0.58526,1.28269,0.92491,0.884,0.96792,0.79565,0.64341,0.50377,1.13813,0.00197266,0.00197266,0.00197266
16,566.517,0.78036,0.56101,1.27042,0.96792,0.96549,0.98931,0.82705,0.62054,0.39134,1.14334,0.00197077,0.00197077,0.00197077
17,601.354,0.77728,0.56154,1.26776,0.97966,0.96338,0.99023,0.82823,0.626,0.38184,1.13834,0.00196885,0.00196885,0.00196885
18,636.071,0.77709,0.55034,1.26656,0.91807,0.96,0.98376,0.84149,0.60397,0.39638,1.10711,0.00196694,0.00196694,0.00196694
19,670.739,0.75956,0.54856,1.26503,0.99222,0.968,0.99201,0.85841,0.56844,0.33632,1.07366,0.00196502,0.00196502,0.00196502
20,705.8,0.74348,0.54367,1.24665,1,0.97112,0.99264,0.85947,0.5604,0.32872,1.05689,0.00196312,0.00196312,0.00196312
21,740.564,0.74146,0.53373,1.24058,0.97117,0.94314,0.98815,0.83123,0.61059,0.39196,1.15408,0.00196118,0.00196118,0.00196118
22,775.251,0.73794,0.51532,1.2327,0.97335,0.968,0.99103,0.85128,0.58758,0.34427,1.11133,0.00195928,0.00195928,0.00195928
23,809.996,0.71834,0.50987,1.21536,0.99419,0.972,0.99102,0.85831,0.57133,0.33692,1.06775,0.00195738,0.00195738,0.00195738
24,844.596,0.73378,0.52924,1.23815,0.98005,0.98257,0.99403,0.85314,0.58484,0.34023,1.0961,0.00195544,0.00195544,0.00195544
25,879.608,0.7088,0.51185,1.21712,0.99153,0.98,0.99067,0.86342,0.5583,0.31258,1.05359,0.00195355,0.00195355,0.00195355
26,914.382,0.70847,0.50739,1.22109,0.9915,0.98,0.98971,0.86919,0.54605,0.33274,1.02642,0.00195161,0.00195161,0.00195161
27,949.088,0.7091,0.49032,1.21219,0.99466,0.988,0.99488,0.88894,0.51757,0.31023,1.03064,0.00194973,0.00194973,0.00194973
