epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.58017,1.00738,2.37102,1.5925,0.00314,1,0.78656,0.43891,1.27739,3.20789,2.29404,0.0004,0.0004,0.0004
2,14.4437,0.93852,1.54597,1.5252,0.68629,0.6875,0.79571,0.42199,1.55865,2.59028,2.70702,0.000819772,0.000819772,0.000819772
3,18.7765,0.97441,1.23339,1.50529,0.44958,0.1875,0.21691,0.10369,2.82097,3.70497,4.18932,0.00123949,0.00123949,0.00123949
4,22.8865,0.98491,1.14457,1.54845,0.05318,0.1875,0.07364,0.02575,2.02802,3.60473,3.24012,0.00165912,0.00165912,0.00165912
5,27.0891,1.03758,1.07789,1.56763,0.29527,0.5625,0.29525,0.09954,2.19385,3.02159,3.44643,0.00199872,0.00199872,0.00199872
6,31.1541,0.99819,1.02612,1.54809,0.51578,0.3125,0.38827,0.16315,2.37297,2.24703,3.49008,0.00199849,0.00199849,0.00199849
7,35.2006,1.04803,0.97252,1.59091,0.04276,0.25,0.02264,0.00609,3.42868,6.15142,4.17869,0.00199826,0.00199826,0.00199826
8,39.3599,0.9618,0.89592,1.53259,0.37273,0.375,0.23949,0.09961,2.71971,2.91704,3.61941,0.00199804,0.00199804,0.00199804
9,43.3964,1.01976,0.86756,1.57172,0.59153,0.4375,0.47044,0.17982,2.23203,1.66247,3.36548,0.00199781,0.00199781,0.00199781
10,47.3771,1.00447,0.85267,1.55675,0.86816,0.41356,0.43534,0.26261,2.47195,1.88858,3.21307,0.00199759,0.00199759,0.00199759
11,51.5106,0.95469,0.78776,1.50206,0.04004,0.0625,0.00426,0.00085,4.80676,4.15973,5.78631,0.00199737,0.00199737,0.00199737
12,55.6351,0.91611,0.7451,1.48798,0.51399,0.8125,0.66253,0.35854,1.59871,1.67498,2.50232,0.00199715,0.00199715,0.00199715
